0.41	0.91	1.05	-0.78	0.65	0.78	17.83	-74.53	-2.75
0.24	0.86	1.09	-0.79	0.65	0.75	5.16	-74.69	19.22
0.19	0.80	1.05	-0.74	0.61	0.72	-2.91	-78.91	35.42
0.20	0.78	1.03	-0.72	0.59	0.68	-6.39	-82.28	46.51
0.25	0.75	1.00	-0.74	0.61	0.65	0.08	-81.45	51.64
0.19	0.70	1.00	-0.75	0.61	0.62	12.16	-77.08	54.65
0.16	0.66	1.00	-0.75	0.61	0.62	23.48	-73.09	60.61
0.05	0.67	1.00	-0.76	0.62	0.54	33.68	-67.91	66.10
0.02	0.69	0.99	-0.77	0.61	0.50	39.90	-61.32	71.25
-0.02	0.65	0.97	-0.79	0.60	0.47	38.34	-55.51	78.26
-0.07	0.57	0.96	-0.83	0.60	0.43	28.37	-49.87	84.02
-0.12	0.53	0.99	-0.82	0.59	0.38	19.36	-43.72	91.73
-0.14	0.49	1.04	-0.81	0.63	0.32	12.11	-33.26	98.50
-0.16	0.44	1.08	-0.80	0.63	0.26	5.89	-24.35	103.74
-0.16	0.41	1.09	-0.77	0.62	0.25	-0.92	-19.75	107.42
-0.20	0.32	1.04	-0.75	0.62	0.25	-6.00	-14.78	111.57
-0.20	0.32	1.00	-0.71	0.63	0.22	-1.61	-7.23	115.54
-0.19	0.30	0.90	-0.68	0.65	0.20	5.34	1.44	115.46
-0.20	0.25	0.83	-0.67	0.65	0.21	7.61	7.93	111.25
-0.21	0.26	0.80	-0.62	0.64	0.17	10.57	13.23	105.20
-0.19	0.30	0.71	-0.57	0.65	0.16	13.59	20.33	99.16
-0.11	0.39	0.60	-0.48	0.66	0.17	18.22	28.32	90.96
-0.09	0.40	0.57	-0.40	0.62	0.21	14.69	33.76	84.36
-0.07	0.41	0.56	-0.35	0.56	0.21	-2.37	32.16	78.61
-0.04	0.43	0.53	-0.30	0.53	0.21	-18.39	28.33	68.33
0.00	0.47	0.44	-0.19	0.49	0.18	-13.81	29.24	52.83
0.09	0.54	0.33	-0.04	0.55	0.21	23.46	42.82	40.54
0.19	0.56	0.26	0.11	0.61	0.21	57.35	58.56	23.93
0.27	0.55	0.27	0.09	0.56	0.25	51.02	59.31	8.45
0.30	0.52	0.28	0.05	0.49	0.31	24.38	57.13	1.30
0.36	0.50	0.23	0.10	0.51	0.24	27.44	70.27	-8.98
0.46	0.49	0.20	0.06	0.47	0.22	37.94	89.53	-31.89
1.26	0.91	0.33	0.45	0.92	0.99	9.68	-33.42	-250.00
1.26	0.91	0.33	0.45	0.92	0.99	19.27	-38.34	-250.00
1.40	1.06	0.61	0.11	0.92	1.36	52.37	-43.80	-250.00
1.40	1.11	0.90	-0.50	0.78	1.51	66.54	-52.90	-250.00
1.38	1.11	1.02	-0.71	0.75	1.43	63.86	-63.81	-244.40
1.24	1.06	1.19	-1.00	0.64	1.42	63.17	-60.75	-198.36
1.08	0.95	1.32	-1.12	0.55	1.43	38.50	-61.07	-141.44
0.98	0.87	1.38	-1.29	0.41	1.46	-16.90	-81.23	-81.11
0.78	0.75	1.37	-1.09	0.48	1.30	-50.43	-80.25	-29.05
0.65	0.63	1.32	-1.14	0.49	1.17	-106.31	-89.78	-4.95
0.54	0.54	1.13	-0.87	0.51	0.93	-108.66	-90.01	6.23
